company,team_size,contact_name,contact_title,industry,employee_count,has_field_service,field_service_scale,icp_score,fit_level,reasoning_text,recommended_action,talking_points_text,confidence,business_model,description
IBM,15,Jessica Murillo,"COO, Technology Lifecycle Services",Technology Services and Consulting,"280,000-300,000",TRUE,large,95,High,"Perfect size match with 280k-300k employees, far exceeding 2000+ target | Technology services industry with massive global field service operations | Uses target tech stack including ServiceNow and Salesforce | COO of Technology Lifecycle Services is ideal decision-maker contact",Priority outreach,Managing support complexity across 280k+ workforce and global client base | 75% faster resolution times could significantly impact service delivery margins | AI agent integration with existing ServiceNow/Salesforce infrastructure,high,service_provider,"IBM is a multinational technology corporation providing cloud platforms, cognitive computing, and enterprise software services globally."
GE Healthcare,1,Matt Van Holland,"GM, Service Operations,",Healthcare Technology & Medical Equipment,"50,000+",TRUE,large,95,High,"Perfect industry match - medical equipment manufacturing with global field service operations | Ideal company size (50,000+ employees) with large-scale field service operations requiring technical support | Uses Salesforce CRM from target tech stack and likely handles 1000+ monthly service tickets globally | GM Service Operations attendee indicates direct decision-making authority for field service solutions",Priority outreach,Medical equipment downtime directly impacts patient care - 75% faster resolution times are critical | Global service operations complexity requires AI agents to handle technical diagnostics and troubleshooting at scale | Integration with existing Salesforce CRM and mobile tools to enhance current field service workflows,high,manufacturer,"GE HealthCare is a global healthcare technology company that manufactures medical equipment and provides digital infrastructure, data analytics, and decision support tools for patient diagnosis, treatment, and monitoring."
Coherent Corporation,1,Norman Apfelbaum,"Global VP, Worldwide Customer Service",Technology and Photonics,"10,000+",TRUE,large,85,High,"Perfect size match with 10,000+ employees and large-scale global field service operations | Manufacturing/technology company serving industrial and communications markets aligns with target industries | Global VP of Customer Service attending indicates active focus on support optimization and decision-making authority",Priority outreach,Complex laser and photonics equipment likely generates high-volume technical support tickets globally | 75% faster resolution times could significantly reduce downtime costs for industrial customers using Coherent's critical manufacturing equipment | AI agents can handle multi-language support across global operations while maintaining technical accuracy for specialized photonics troubleshooting,medium,manufacturer,"Coherent Corporation is a global leader in materials, networking, and laser technologies serving industrial, communications, electronics, and instrumentation markets."
Omron Corporation,1,Showkot Hassan,Global Head of Service,Industrial Automation & Healthcare Technology,25000-30000,TRUE,large,85,High,"Perfect industry match - manufacturing and medical devices are both target industries | Excellent company size at 25,000-30,000 employees, well above the 2,000+ ideal threshold | Large-scale global field service operations with manufacturing equipment and medical devices requiring technical support | Global Head of Service attending indicates decision-making authority and active interest in service optimization",Priority outreach,"Manufacturing equipment downtime costs and complex technical troubleshooting across global operations | 75% faster resolution times for industrial automation and medical device field service calls | AI agents handling tier-1 technical diagnostics for sensors, automation systems, and healthcare equipment globally",medium,manufacturer,"Global technology company that manufactures industrial automation equipment, healthcare devices, and sensing solutions with operations across multiple continents."
Accuray,1,Todd Brown,"SVP, Global Commercial Operations and Service",medical devices,500-2000,TRUE,large,85,High,Perfect industry match - medical devices with complex radiation therapy systems requiring specialized technical support | Strong tech stack alignment with Salesforce and ServiceMax for field service management | Global operations with large-scale field service for critical medical equipment suggests high support ticket volume | High-stakes environment where 75% faster resolution times could significantly impact patient care and hospital operations,Priority outreach,Reducing downtime on critical radiation therapy equipment that directly impacts patient treatment schedules | AI agents can provide instant technical guidance for complex CyberKnife and TomoTherapy troubleshooting across global service teams | 75% faster resolution times mean hospitals can maintain treatment schedules and improve patient outcomes while reducing costly service calls,high,manufacturer,Accuray is a medical device manufacturer specializing in advanced radiation therapy systems like CyberKnife and TomoTherapy platforms for oncology and neurosurgery applications.
Siemens Smart Infrastructure,1,Brad Haeberle,"EVP, Services",Smart Infrastructure and Building Technologies,50000+,TRUE,large,85,High,"Perfect company size (50,000+ employees) well above ICP threshold | Strong field service operations at global scale with large volume | Uses relevant tech stack including Microsoft Dynamics 365 Field Service | Manufacturing/infrastructure industry aligns with ICP focus areas",Priority outreach,Reducing field service resolution times for smart building installations and energy systems | AI agents can integrate with existing Dynamics 365 Field Service to accelerate troubleshooting | Global infrastructure projects require consistent technical support - AI can standardize expertise across regions,high,manufacturer,"Siemens Smart Infrastructure transforms infrastructure through smart building technologies, energy systems, and digital solutions with extensive global field service operations."
TridentCare,,Kyle Seiter,Chief Information Officer,unknown,unknown,unknown,unknown,35,Low,"Complete lack of company data makes ICP assessment impossible - cannot verify industry, size, tech stack, or operations scale | CIO contact is positive signal suggesting enterprise-level organization with technical decision-making authority | Conference attendance indicates potential interest in tech solutions, but unknown relevance to field service/technical support",Research more,AI-powered technical support automation reducing resolution times by 75% | Enterprise-grade integration with major service platforms like ServiceNow and Salesforce | Scalable solution for organizations handling high-volume technical support operations,low,unknown,Unable to research TridentCare due to search API rate limiting.
Impel Companies,,Adam Gloss,Chief Operating Officer,unknown,unknown,unknown,unknown,25,Low,Complete lack of industry and company size information makes fit assessment impossible | No visibility into technical infrastructure or support operations scale | COO attendance suggests potential operational focus but insufficient data to confirm field service needs,Research more,AI-powered field service automation reducing resolution times by 75% | Operational efficiency improvements through intelligent ticket routing and knowledge management | Integration capabilities with major service platforms like ServiceNow and Salesforce,low,unknown,Unable to research Impel Companies due to search API rate limiting.
Premistar,1,Anthony Billups,President,unknown,,FALSE,,15,Low,"Unknown industry - cannot verify alignment with target sectors (telecom, data platforms, manufacturing, medical devices) | No field service operations identified - core requirement for Ascendo.AI's value proposition | Single conference attendee suggests smaller organization, likely below 500+ employee threshold",Research more,Explore if they have technical support operations that could benefit from AI automation | Identify their industry vertical and operational scale | Understand their current support ticket volume and resolution processes,low,,
Biotronics3D,,Tanya Singh,Chief Commercial Officer,Medical Imaging Software,small (10-50),FALSE,none,15,Low,"Company size (10-50 employees) is far below target ICP of 500+ employees | No field service operations identified, which is core to Ascendo.AI's value proposition | Regional support operations vs target of global operations with 1000+ monthly tickets | Tech stack doesn't align with target platforms (ServiceNow, Salesforce, SAP Field Service, Zendesk)",Skip,Technical support efficiency for medical imaging platform issues | AI-powered ticket resolution for healthcare IT environments | Integration capabilities with existing medical device support workflows,medium,service_provider,Biotronics3D provides FDA-cleared cloud-based medical imaging solutions through their 3Dnet Enterprise Suite platform for healthcare providers.
